alpha,R_net_bps_hz,RMSE_mm,label,Nt
0.05,5.072341347672626,0.011062752478335445,$N=16$,16
0.06315789473684211,5.00254186832666,0.007184827600614231,$N=16$,16
0.07631578947368421,4.932575080649521,0.005499687279458681,$N=16$,16
0.08947368421052632,4.862514796297067,0.004655113023292475,$N=16$,16
0.10263157894736842,4.792396975171013,0.004173191130597696,$N=16$,16
0.11578947368421053,4.7222412319074785,0.0038650688468218407,$N=16$,16
0.12894736842105264,4.652059175232101,0.0036491259136482365,$N=16$,16
0.14210526315789473,4.581858114373414,0.0034868852097446265,$N=16$,16
0.15526315789473683,4.511642880871665,0.0033586150001787035,$N=16$,16
0.16842105263157894,4.441416796419931,0.003253370376885017,$N=16$,16
0.18157894736842106,4.3711822199071175,0.0031646351891003095,$N=16$,16
0.19473684210526315,4.300940872687932,0.0030882811249638565,$N=16$,16
0.20789473684210524,4.230694040333219,0.0030215488276884132,$N=16$,16
0.22105263157894733,4.160442702326942,0.002962508235801193,$N=16$,16
0.23421052631578948,4.0901876180452685,0.002909756847567948,$N=16$,16
0.24736842105263157,4.019929385295634,0.0028622425134572724,$N=16$,16
0.26052631578947366,3.9496684811167686,0.0028191546417397012,$N=16$,16
0.27368421052631575,3.87940529080953,0.002779854691660201,$N=16$,16
0.2868421052631579,3.8091401289776194,0.0027438301585747194,$N=16$,16
0.3,3.7388732550312946,0.0027106631319346423,$N=16$,16
0.05,6.946712911808844,0.002880546776474427,$N=64$,64
0.06315789473684211,6.8509611858237145,0.0019684747637957246,$N=64$,64
0.07631578947368421,6.755038992504697,0.0015934104815275862,$N=64$,64
0.08947368421052632,6.6590215378096795,0.0014152506564131468,$N=64$,64
0.10263157894736842,6.562945460636515,0.0013179634756096635,$N=64$,64
0.11578947368421053,6.46683074587602,0.0012578671921875148,$N=64$,64
0.12894736842105264,6.370689221337188,0.0012168869129255773,$N=64$,64
0.14210526315789473,6.2745283341670355,0.0011867823742372048,$N=64$,64
0.15526315789473683,6.178353007060191,0.0011634305713138205,$N=64$,64
0.16842105263157894,6.08216662437159,0.0011445856577160186,$N=64$,64
0.18157894736842106,5.985971589485129,0.0011289288466121122,$N=64$,64
0.19473684210526315,5.889769656222357,0.0011156337528404417,$N=64$,64
0.20789473684210524,5.79356213439992,0.0011041531406149137,$N=64$,64
0.22105263157894733,5.697350021973729,0.0010941074274850894,$N=64$,64
0.23421052631578948,5.601134092640186,0.0010852229468586777,$N=64$,64
0.24736842105263157,5.504914955479612,0.0010772959556461013,$N=64$,64
0.26052631578947366,5.408693096525919,0.0010701706627799367,$N=64$,64
0.27368421052631575,5.312468908345052,0.0010637252563453702,$N=64$,64
0.2868421052631579,5.2162427114725665,0.0010578626893759117,$N=64$,64
0.3,5.120014770209765,0.001052504406071138,$N=64$,64
0.05,8.84023021636839,0.0008250611822299654,$N=256$,256
0.06315789473684211,8.718254684352733,0.000635855038623541,$N=256$,256
0.07631578947368421,8.596107876524695,0.0005664066170950801,$N=256$,256
0.08947368421052632,8.47386535568745,0.0005360178316851391,$N=256$,256
0.10263157894736842,8.351563934513399,0.0005202842312064288,$N=256$,256
0.11578947368421053,8.22922369265148,0.0005109016054801269,$N=256$,256
0.12894736842105264,8.106856513979714,0.0005046598607746657,$N=256$,256
0.14210526315789473,7.984469880941838,0.0005001586265199782,$N=256$,256
0.15526315789473683,7.862068739561055,0.0004967174685989114,$N=256$,256
0.16842105263157894,7.73965649022891,0.0004939732593419618,$N=256$,256
0.18157894736842106,7.617235547716573,0.0004917159745224617,$N=256$,256
0.19473684210526315,7.494807674154574,0.0004898155686685089,$N=256$,256
0.20789473684210524,7.372374185564582,0.0004881867773088969,$N=256$,256
0.22105263157894733,7.249936084629876,0.00048677096972401705,$N=256$,256
0.23421052631578948,7.127494148711707,0.00048552620605552335,$N=256$,256
0.24736842105263157,7.005048989775359,0.00048442148849506587,$N=256$,256
0.26052631578947366,6.882601096156795,0.00048343327560014743,$N=256$,256
0.27368421052631575,6.760150862281244,0.00048254327834775667,$N=256$,256
0.2868421052631579,6.637698610202344,0.0004817370142702148,$N=256$,256
0.3,6.515244605473111,0.00048100282770490116,$N=256$,256
