alpha,sigma2_pn_res,sigma2_DSE
0.05,0.012964274070322907,0.15999999999999995
0.060000000000000005,0.010803561725269088,0.06430041152263372
0.07,0.00926019576451636,0.02974950913309929
0.08,0.008102671293951817,0.015258789062499997
0.09,0.007202374483512726,0.008467543904215145
0.1,0.006482137035161453,0.004999999999999998
0.11,0.005892851850146776,0.003104606615295776
0.12000000000000001,0.005401780862634544,0.0020093878600823036
0.13,0.004986259257816502,0.0013466453717145218
0.14,0.00463009788225818,0.0009296721604093528
0.15000000000000002,0.004321424690107635,0.0006584362139917691
0.16,0.004051335646975908,0.0004768371582031249
0.16999999999999998,0.0038130217853890903,0.0003521481388618715
0.18,0.003601187241756363,0.00026461074700672327
0.19,0.003411651071137607,0.00020193053670309626
0.2,0.0032410685175807267,0.00015624999999999995
0.21000000000000002,0.003086731921505454,0.00012242596351069666
0.22000000000000003,0.0029464259250733876,9.701895672799293e-05
0.22999999999999998,0.0028183204500701973,7.768386489035779e-05
0.24,0.0027008904313172723,6.279337062757203e-05
0.25,0.0025928548140645813,5.12e-05
0.26,0.002493129628908251,4.208266786607881e-05
0.27,0.0024007914945042416,3.484585968812815e-05
0.28,0.00231504894112909,2.9052255012792274e-05
0.29,0.0022352196672970528,2.4376986389207166e-05
0.3,0.002160712345053818,2.0576131687242803e-05
